Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Shipping_Mode
ORD-11864,2024-05-31,CUST-1077,Corporate,West,Sports,Running Shoes,10,1192.41,0.2,9539.28,1688.86,First Class
ORD-10759,2024-03-16,CUST-1144,Corporate,Central,Clothing,Shoes,5,264.07,0.2,1056.28,167.08,Same Day
ORD-12028,2024-05-11,CUST-1401,Consumer,East,Clothing,T-Shirt,3,188.26,0.15,480.06,128.6,Express
ORD-11302,2023-09-03,CUST-1089,Corporate,SOUTH,Sports,Tennis Racket,3,1298.57,0.1,3506.14,563.5,Same Day
ORD-11777,2023-12-12,CUST-1369,Corporate,South,Clothing,Jacket,6,42.29,0.0,253.74,53.26,Same Day
ORD-11094,2023-11-21,CUST-1385,Corporate,West,Books,Novel,7,68.09,0.2,381.3,53.5,Standard
ORD-11729,2024-11-25,CUST-1389,Corporate,North,Home & Kitchen,Air Fryer,10,531.31,0.2,4250.48,1143.07,Same Day
ORD-11244,2024-12-02,CUST-1061,Home Office,West,Clothing,Shoes,8,176.94,0.2,1132.42,324.65,Same Day
ORD-11135,2023-01-07,CUST-1412,Corporate,Central,Clothing,Jeans,5,104.25,0.2,417.0,144.59,Express
ORD-12017,2023-08-20,CUST-1053,Home Office,North,Electronics,Tablet,4,1219.83,0.2,3903.46,1097.25,Standard
ORD-10239,26/10/2024,CUST-1183,Corporate,EAST,Books,Textbook,5,48.65,0.1,218.93,41.57,Same Day
ORD-11221,2023-04-08,CUST-1376,Home Office,West,Sports,Bicycle,9,54.73,0.15,418.68,136.36,Express
ORD-11772,2023-10-03,CUST-1452,Consumer,East,Books,Textbook,4,57.76,0.0,231.04,15.15,First Class
ORD-12293,2024-02-18,CUST-1365,Consumer,South,Books,Biography,9,63.46,0.1,514.03,133.38,Same Day
ORD-11405,2024-12-24,CUST-1075,Consumer,East,Electronics,Smartwatch,1,1007.24,0.0,1007.24,194.39,Standard
ORD-12100,2023-01-19,CUST-1156,Home Office,Central,Sports,Dumbbells,5,323.48,0.0,1617.4,227.43,First Class
ORD-10700,2023-12-17,CUST-1088,Home Office,East,Clothing,Shoes,10,269.12,0.15,2287.52,638.39,Standard
ORD-10812,2023-05-02,CUST-1308,Corporate,North,Books,Cookbook,3,12.28,0.15,31.31,5.03,Standard
ORD-10289,2024-12-19,CUST-1443,Consumer,South,Clothing,Shoes,5,277.26,0.25,1039.72,256.57,Express
ORD-10218,2024-12-21,CUST-1394,Corporate,,Electronics,Laptop,3,1037.71,0.1,2801.82,716.77,Same Day
ORD-10043,2024-06-03,CUST-1158,Home Office,,Home & Kitchen,Air Fryer,2,285.44,0.2,456.7,146.15,Same Day
ORD-10719,2024-03-17,CUST-1068,,West,Clothing,Dress,5,204.64,0.2,818.56,81.24,First Class
ORD-11412,2024-10-10,CUST-1041,Corporate,West,Clothing,Jacket,4,132.4,0.0,529.6,183.08,Standard
ORD-11724,2024-04-03,CUST-1399,Consumer,East,Electronics,Smartphone,9,747.21,0.0,6724.89,1937.73,Same Day
ORD-11637,2024-08-07,CUST-1181,Consumer,East,Home & Kitchen,Blender,1,724.98,0.1,652.48,69.44,Same Day
ORD-11177,2024-01-03,CUST-1245,Home Office,Central,Books,Cookbook,1,11.21,0.1,10.09,0.62,Express
ORD-11362,2024-09-09,CUST-1414,Home Office,North,Books,Cookbook,9,78.84,0.1,638.6,57.68,Same Day
ORD-10212,2024-05-22,CUST-1095,Home Office,East,Books,Textbook,1,75.37,0.25,56.53,9.56,Standard
ORD-10680,2024-06-30,CUST-1154,Consumer,North,Home & Kitchen,Cookware Set,8,160.96,0.15,1094.53,375.03,First Class
ORD-11882,2023-04-03,CUST-1167,Corporate,Central,Home & Kitchen,Air Fryer,5,335.87,0.2,1343.48,426.9,Same Day
ORD-10845,2023-12-09,CUST-1430,Corporate,South,Books,Cookbook,10,66.56,0.25,499.2,118.75,Standard
ORD-12051,04/04/2023,CUST-1322,Corporate,East,Clothing,Dress,5,272.03,0.0,1360.15,115.05,Same Day
ORD-11813,2023-06-02,CUST-1014,Home Office,North,Home & Kitchen,Blender,9,484.68,0.15,3707.8,455.72,Express
ORD-11784,2023-06-27,CUST-1187,Home Office,South,Home & Kitchen,Vacuum,6,130.64,0.0,783.84,64.41,First Class
ORD-11225,2024-01-14,CUST-1244,Home Office,North,Clothing,Dress,7,293.05,0.25,1538.51,184.06,Same Day
ORD-11370,2024-11-10,CUST-1049,Home Office,East,Clothing,Jacket,8,115.48,0.25,692.88,148.74,Same Day
ORD-12373,2024-08-27,CUST-1308,Consumer,North,Home & Kitchen,Blender,5,118.53,0.0,592.65,86.76,Express
ORD-11134,2023-05-28,CUST-1287,Home Office,West,Sports,Tennis Racket,1,1115.56,0.2,892.45,99.53,Express
ORD-12003,2024-01-21,CUST-1085,Corporate,South,Clothing,Dress,1,136.71,0.0,136.71,33.38,Express
ORD-10410,2023-04-10,CUST-1388,Home Office,South,Sports,Tennis Racket,6,909.93,0.2,4367.66,811.34,Standard
ORD-11317,2024-06-20,CUST-1459,Consumer,South,Home & Kitchen,Vacuum,1,394.49,0.25,295.87,81.03,Same Day
ORD-12195,2023-01-29,CUST-1437,Consumer,Central,Clothing,Dress,8,275.08,0.1,1980.58,207.0,First Class
ORD-10468,2024-12-23,CUST-1203,Home Office,South,Home & Kitchen,Air Fryer,5,466.18,0.0,2330.9,520.48,Standard
ORD-12262,2024-03-04,CUST-1360,Corporate,East,Clothing,Shoes,1,146.86,0.15,124.83,20.92,First Class
ORD-10528,2024-03-01,CUST-1382,Consumer,Central,Sports,Dumbbells,3,865.79,0.15,2207.76,606.6,Same Day
ORD-11255,2024-10-03,CUST-1494,Consumer,South,Electronics,Laptop,2,528.5,0.0,1057.0,153.53,Standard
ORD-10642,2024-07-03,CUST-1076,Home Office,Central,Electronics,Smartphone,9,1652.79,0.1,13387.6,4445.04,Express
ORD-12076,2023-08-01,CUST-1335,Consumer,North,Clothing,Jeans,5,106.81,0.0,534.05,69.18,Same Day
ORD-11498,2023-04-02,CUST-1416,Consumer,West,Sports,Yoga Mat,7,798.9,0.2,4473.84,431.7,Express
ORD-10296,2024-10-26,CUST-1084,Consumer,West,Home & Kitchen,Coffee Maker,5,540.94,0.0,2704.7,436.95,Same Day
ORD-12099,2024-01-27,CUST-1435,Consumer,South,Books,Biography,5,57.96,0.15,246.33,77.28,Standard
ORD-10368,2024-01-05,CUST-1360,Consumer,East,Clothing,Jeans,4,254.35,0.0,1017.4,190.19,Same Day
ORD-11618,2024-03-08,CUST-1337,Corporate,Central,Books,Biography,6,41.47,0.2,199.06,67.68,Express
ORD-10282,2024-02-23,CUST-1350,Corporate,West,Clothing,Jeans,9,248.26,0.15,1899.19,467.05,First Class
ORD-12093,2024-04-07,CUST-1293,Consumer,South,Sports,Dumbbells,8,1422.05,0.0,11376.4,2709.41,Standard
ORD-10544,2023-10-22,CUST-1007,Corporate,North,Electronics,Smartphone,3,1908.09,0.25,4293.2,1286.82,Same Day
ORD-11187,2024-04-28,CUST-1337,Home Office,,Sports,Yoga Mat,9,1275.2,0.25,8607.6,563.19,First Class
ORD-10318,2023-09-09,CUST-1077,Consumer,West,Home & Kitchen,Air Fryer,4,778.89,0.2,2492.45,797.92,Standard
ORD-10834,2024-12-21,CUST-1250,Corporate,Central,Electronics,Laptop,7,1410.87,0.15,8394.68,2674.38,Standard
ORD-12258,2023-02-17,CUST-1496,Corporate,South,Home & Kitchen,Blender,5,766.79,0.0,3833.95,630.88,Express
ORD-12308,2023-01-27,CUST-1351,Home Office,Central,Home & Kitchen,Cookware Set,5,633.07,0.0,3165.35,487.64,Express
ORD-11855,2023-03-10,CUST-1364,Corporate,South,Sports,Tennis Racket,10,1370.16,0.1,12331.44,3602.06,
ORD-11163,2024-07-03,CUST-1290,Consumer,North,Electronics,Smartwatch,7,218.09,0.2,1221.3,336.8,Express
ORD-10495,2024-08-08,CUST-1207,Consumer,North,Clothing,Jeans,6,199.36,0.1,1076.54,257.7,Express
ORD-10839,2024-08-01,CUST-1089,Consumer,Central,Clothing,Dress,10,74.26,0.2,594.08,151.32,Express
ORD-11983,2023-03-11,CUST-1180,Home Office,North,Clothing,T-Shirt,10,201.17,0.2,1609.36,399.24,First Class
ORD-11951,2024-01-04,CUST-1224,Corporate,Central,Clothing,Jeans,5,39.24,0.0,196.2,66.95,Express
ORD-10093,2024-05-16,CUST-1443,Consumer,West,Electronics,Headphones,10,1506.89,0.15,12808.57,4478.78,
ORD-12184,2023-04-18,CUST-1227,Corporate,Central,Electronics,Smartwatch,10,1382.04,0.2,11056.32,3358.66,Standard
ORD-10433,2023-02-25,CUST-1091,Corporate,,Clothing,T-Shirt,6,148.58,0.0,891.48,67.98,Standard
ORD-10196,2023-05-12,CUST-1499,,West,Sports,Running Shoes,10,1242.33,0.2,9938.64,2318.81,Same Day
ORD-11146,2023-04-19,CUST-1255,Home Office,West,Electronics,Laptop,3,253.14,0.0,759.42,59.97,Same Day
ORD-12328,2023-07-10,CUST-1395,Consumer,East,Electronics,Smartwatch,3,1927.69,0.15,4915.61,314.29,Same Day
ORD-10937,2024-11-06,CUST-1358,Consumer,North,Electronics,Tablet,4,1392.76,0.0,5571.04,632.27,First Class
ORD-10254,2023-12-01,CUST-1015,Home Office,East,Electronics,Headphones,10,1289.3,0.15,10959.05,1852.2,First Class
ORD-11480,2023-06-13,CUST-1249,Home Office,North,Clothing,Shoes,8,189.91,0.1,1367.35,246.85,Same Day
ORD-11666,2023-08-22,CUST-1220,Home Office,North,Home & Kitchen,Cookware Set,4,403.54,0.15,1372.04,205.85,Standard
ORD-11490,2024-06-20,CUST-1409,Home Office,,Sports,Tennis Racket,1,202.53,0.2,162.02,51.11,Express
ORD-10168,2023-02-14,CUST-1405,Consumer,North,Clothing,T-Shirt,8,220.49,0.0,1763.92,243.48,Same Day
ORD-12059,2024-08-30,CUST-1238,Home Office,North,Sports,Bicycle,4,353.54,0.0,1414.16,365.44,Express
ORD-11910,2023-08-04,CUST-1419,Home Office,East,Home & Kitchen,Cookware Set,7,246.24,0.0,1723.68,513.24,Standard
ORD-11754,2024-11-14,CUST-1262,Consumer,South,Sports,Yoga Mat,8,1393.33,0.2,8917.31,2561.77,Standard
ORD-10173,2023-10-09,CUST-1327,Consumer,North,Books,Biography,6,41.3,0.15,210.63,73.6,First Class
ORD-11383,2023-09-05,CUST-1445,Home Office,West,Sports,Yoga Mat,10,155.65,0.15,1323.02,409.51,First Class
ORD-10978,2023-05-01,CUST-1148,Corporate,West,Home & Kitchen,Coffee Maker,4,303.47,0.25,910.41,192.77,Same Day
ORD-11241,2023-11-28,CUST-1039,Consumer,South,Electronics,Smartwatch,3,463.68,0.1,1251.94,391.09,First Class
ORD-10610,2024-03-03,CUST-1078,Corporate,South,Books,Textbook,7,23.18,0.25,121.69,39.83,Express
ORD-10601,2024-05-08,CUST-1196,Consumer,East,Books,Self-Help,10,38.94,0.0,389.4,83.48,Express
ORD-12394,2024-11-05,CUST-1402,Consumer,North,Home & Kitchen,Blender,9,471.06,0.2,3391.63,958.92,Express
ORD-11518,2024-04-28,CUST-1278,Consumer,East,Electronics,Headphones,10,855.26,0.0,8552.6,1598.29,Same Day
ORD-11942,2023-09-26,CUST-1367,Corporate,South,Electronics,Laptop,9,1073.85,0.0,9664.65,949.8,Standard
ORD-10435,2024-08-22,CUST-1023,Home Office,North,Electronics,Smartwatch,10,210.62,0.0,2106.2,582.97,Same Day
ORD-12206,2024-01-03,CUST-1492,Home Office,South,Sports,Bicycle,8,328.18,0.1,2362.9,580.26,Express
ORD-11871,2023-08-16,CUST-1136,Home Office,West,Sports,Tennis Racket,9,209.46,0.15,1602.37,541.68,Express
ORD-11099,2024-08-21,CUST-1454,Corporate,West,Clothing,Dress,3,148.99,0.0,446.97,137.92,Standard
ORD-12019,2023-08-03,CUST-1185,Home Office,East,Sports,Bicycle,9,161.26,0.0,1451.34,211.17,Express
ORD-11301,2024-12-01,CUST-1046,Corporate,North,Electronics,Headphones,3,1297.66,0.15,3309.03,786.39,First Class
ORD-10782,2024-12-20,CUST-1227,Corporate,West,Clothing,Shoes,2,138.13,0.0,276.26,88.6,Standard
ORD-11940,2024-02-24,CUST-1140,Consumer,West,Electronics,Laptop,4,1337.81,0.2,4280.99,1367.96,Express
ORD-11681,2023-05-19,CUST-1027,Home Office,South,Sports,Bicycle,10,607.05,0.2,4856.4,1317.46,Express
ORD-10175,2024-08-03,CUST-1016,Home Office,South,Electronics,Smartphone,6,1601.33,0.0,9607.98,1583.94,First Class
ORD-11658,2023-07-01,CUST-1218,Consumer,West,Clothing,Shoes,5,50.92,0.0,254.6,34.38,Standard
ORD-12497,2024-07-15,CUST-1299,Home Office,Central,Sports,Running Shoes,2,1342.45,0.0,2684.9,215.47,Standard
ORD-12350,2023-06-26,CUST-1009,Home Office,Central,Home & Kitchen,Vacuum,8,582.95,0.0,4663.6,799.15,Same Day
ORD-11850,2023-02-13,CUST-1130,Home Office,Central,Home & Kitchen,Blender,2,550.78,0.0,1101.56,314.32,Standard
ORD-11731,2023-07-19,CUST-1488,Consumer,South,Home & Kitchen,Coffee Maker,5,629.22,0.15,2674.19,630.13,Standard
ORD-10246,2023-10-09,CUST-1274,,North,Electronics,Laptop,7,1157.98,0.0,8105.86,445.97,First Class
ORD-11849,2024-12-25,CUST-1323,Home Office,East,Sports,Tennis Racket,10,125.22,0.25,939.15,244.16,Standard
ORD-10596,2024-06-30,CUST-1040,Corporate,Central,Sports,Running Shoes,4,485.85,0.2,1554.72,431.47,Express
ORD-10942,2023-03-05,CUST-1302,Home Office,South,Clothing,Jacket,10,287.14,0.2,2297.12,116.01,First Class
ORD-12018,2023-06-21,CUST-1072,Consumer,North,Sports,Yoga Mat,9,756.13,0.25,5103.88,800.7,Same Day
ORD-10211,2024-07-01,CUST-1378,Home Office,North,Home & Kitchen,Cookware Set,2,534.42,0.2,855.07,190.03,Express
ORD-11886,2024-01-24,CUST-1248,Consumer,North,Electronics,Smartwatch,6,1242.68,0.0,7456.08,1713.77,Standard
ORD-12441,2023-06-14,CUST-1392,Home Office,North,Sports,Yoga Mat,10,1029.43,0.1,9264.87,1557.4,Express
ORD-10859,2024-01-02,CUST-1015,Home Office,North,Books,Textbook,1,67.83,0.0,67.83,3.59,Express
ORD-10643,2024-09-25,CUST-1023,Consumer,South,Electronics,Laptop,8,1523.83,0.2,9752.51,543.4,Standard
ORD-12438,2024-02-12,CUST-1024,Home Office,West,Sports,Bicycle,4,1011.89,0.15,3440.43,859.84,First Class
ORD-11970,2023-09-27,CUST-1022,Home Office,South,Sports,Yoga Mat,7,133.69,0.2,748.66,136.08,First Class
ORD-10916,2024-03-01,CUST-1481,,East,Electronics,Smartwatch,6,1514.66,0.1,8179.16,1401.63,First Class
ORD-10178,2023-03-17,CUST-1231,Consumer,,Clothing,Dress,8,99.96,0.0,799.68,69.41,Standard
ORD-10111,2024-07-28,CUST-1167,Home Office,South,Home & Kitchen,Coffee Maker,8,556.13,0.0,4449.04,1049.37,Standard
ORD-12296,2023-12-04,CUST-1413,Consumer,South,Home & Kitchen,Coffee Maker,2,152.61,0.1,274.7,88.53,Express
ORD-11253,2024-12-06,CUST-1258,Corporate,South,Home & Kitchen,Coffee Maker,1,179.44,0.0,179.44,41.73,Standard
ORD-11928,2024-08-04,CUST-1289,Home Office,West,Sports,Dumbbells,3,458.95,0.1,1239.16,260.58,Express
ORD-12348,2024-07-09,CUST-1340,Corporate,West,Electronics,Headphones,1,1770.69,0.0,1770.69,269.3,Same Day
ORD-12164,2024-01-10,CUST-1326,Consumer,East,Home & Kitchen,Vacuum,5,390.58,0.1,1757.61,209.32,Express
ORD-11097,2023-01-06,CUST-1478,Home Office,North,Clothing,T-Shirt,6,73.52,0.25,330.84,106.15,Same Day
ORD-11590,2023-12-25,CUST-1238,Corporate,West,Clothing,Jeans,2,271.17,0.0,542.34,87.97,Standard
ORD-11767,2023-02-06,CUST-1355,Home Office,West,Home & Kitchen,Cookware Set,9,388.9,0.15,2975.09,557.43,Standard
ORD-11639,2023-12-15,CUST-1061,Home Office,North,Sports,Dumbbells,9,723.31,0.15,5533.32,1481.66,Same Day
ORD-12260,2023-06-02,CUST-1132,Consumer,East,Clothing,T-Shirt,4,122.47,0.2,391.9,55.94,First Class
ORD-11962,2023-07-07,CUST-1464,Corporate,Central,Electronics,Headphones,4,399.79,0.25,1199.37,318.84,Same Day
ORD-11580,2024-04-18,CUST-1283,Corporate,South,Electronics,Headphones,3,1671.12,0.15,4261.36,371.77,Express
ORD-12048,2024-06-19,CUST-1242,Consumer,North,Sports,Tennis Racket,7,979.72,0.0,6858.04,1508.21,Express
ORD-11360,2023-05-28,CUST-1467,Corporate,North,Electronics,Laptop,8,796.85,0.0,6374.8,1724.29,First Class
ORD-10461,2024-06-28,CUST-1257,Consumer,North,Clothing,Shoes,10,272.45,0.0,2724.5,853.66,First Class
ORD-10952,2024-10-27,CUST-1173,Home Office,West,Home & Kitchen,Vacuum,1,184.72,0.0,184.72,63.56,Express
ORD-11701,2023-02-11,CUST-1420,Corporate,East,Clothing,T-Shirt,5,106.68,0.0,533.4,100.59,First Class
ORD-11703,2023-01-24,CUST-1342,Consumer,West,Home & Kitchen,Air Fryer,5,562.39,0.0,2811.95,949.78,First Class
ORD-10188,2024-03-26,CUST-1212,Corporate,,Clothing,Shoes,2,103.28,0.2,165.25,11.23,Express
ORD-11960,2023-01-01,CUST-1457,Consumer,South,Home & Kitchen,Cookware Set,2,573.97,0.2,918.35,94.72,Express
ORD-11912,2023-09-19,CUST-1447,Home Office,West,Sports,Yoga Mat,8,241.95,0.15,1645.26,335.22,First Class
ORD-10866,2024-04-26,CUST-1404,Home Office,Central,Sports,Tennis Racket,4,1331.61,0.2,4261.15,317.12,Standard
ORD-11845,2024-03-26,CUST-1472,Corporate,West,Clothing,Jeans,3,189.95,0.25,427.39,125.21,First Class
ORD-11738,2024-11-19,CUST-1425,Home Office,South,Electronics,Smartphone,8,226.88,0.25,1361.28,242.02,Express
ORD-10862,2023-04-24,CUST-1173,Consumer,East,Electronics,Laptop,3,1696.6,0.1,4580.82,1128.99,First Class
ORD-10874,2024-07-10,CUST-1467,Corporate,North,Home & Kitchen,Cookware Set,10,192.98,0.0,1929.8,674.51,Same Day
ORD-10518,2023-09-14,CUST-1460,Consumer,,Books,Textbook,7,11.49,0.0,80.43,21.5,First Class
ORD-10259,2024-07-26,CUST-1463,Consumer,Central,Books,Novel,7,30.43,0.25,159.76,12.05,Express
ORD-12221,2024-06-05,CUST-1241,Consumer,West,Electronics,Laptop,7,567.55,0.15,3376.92,210.64,First Class
ORD-10810,2024-05-16,CUST-1374,Corporate,South,Home & Kitchen,Air Fryer,7,424.12,0.1,2671.96,685.91,Express
ORD-11071,2023-11-22,CUST-1264,Consumer,West,Sports,Bicycle,7,215.08,0.2,1204.45,122.99,Express
ORD-12298,2023-10-27,CUST-1222,Home Office,East,Sports,Bicycle,7,262.14,0.0,1834.98,176.25,Same Day
ORD-10602,2024-07-11,CUST-1355,Consumer,South,Sports,Bicycle,7,1181.86,0.15,7032.07,2012.56,Standard
ORD-11394,2024-03-24,CUST-1458,Corporate,South,Clothing,Jacket,8,259.67,0.0,2077.36,313.89,Express
ORD-10233,2024-12-14,CUST-1213,Corporate,South,Electronics,Headphones,7,1894.86,0.25,9948.01,2062.61,Same Day
ORD-11102,2024-01-30,CUST-1096,Corporate,North,Electronics,Tablet,1,308.48,0.2,246.78,28.34,Same Day
ORD-12262,2024-03-04,CUST-1360,Corporate,East,Clothing,Shoes,1,146.86,0.15,124.83,20.92,First Class
ORD-11192,2023-07-22,CUST-1460,Consumer,West,Books,Self-Help,10,78.83,0.1,709.47,170.12,Standard
ORD-12382,2023-03-25,CUST-1314,Consumer,Central,Clothing,Jeans,8,137.78,0.15,936.9,227.4,First Class
ORD-10051,2023-09-11,CUST-1430,Home Office,East,Sports,Bicycle,8,1348.38,0.1,9708.34,1240.31,First Class
ORD-10521,2024-09-27,CUST-1122,Corporate,North,Sports,Bicycle,1,1107.15,0.15,941.08,288.96,First Class
ORD-10463,2023-12-25,CUST-1301,Home Office,Central,Sports,Bicycle,8,363.49,0.25,2180.94,611.98,Standard
ORD-11765,2024-03-19,CUST-1499,Home Office,Central,Home & Kitchen,Coffee Maker,4,763.55,0.2,2443.36,739.19,Same Day
ORD-10999,2024-07-27,CUST-1499,Corporate,East,Electronics,Smartphone,9,545.07,0.2,3924.5,493.54,First Class
ORD-11517,2024-03-21,CUST-1286,Home Office,West,Books,Novel,1,79.71,0.25,59.78,13.09,Express
ORD-11535,2024-07-02,CUST-1334,Home Office,North,Sports,Dumbbells,10,708.19,0.1,6373.71,1850.88,Same Day
ORD-12254,2023-06-27,CUST-1112,Consumer,East,Home & Kitchen,Vacuum,1,135.82,0.0,135.82,25.72,First Class
ORD-12491,2023-06-13,CUST-1007,Consumer,South,Books,Textbook,1,35.99,0.25,26.99,8.85,First Class
ORD-10096,2024-03-26,CUST-1051,Home Office,West,Electronics,Smartphone,10,1104.12,0.0,11041.2,3432.82,Standard
ORD-10705,2023-03-11,CUST-1050,Home Office,North,Clothing,Dress,10,238.62,0.0,2386.2,480.75,Express
ORD-11985,2024-04-19,CUST-1353,Corporate,South,Home & Kitchen,Air Fryer,10,462.95,0.0,4629.5,1021.7,Standard
ORD-11061,2023-08-03,CUST-1487,Consumer,Central,Books,Self-Help,10,64.21,0.1,577.89,66.37,Standard
ORD-12470,2024-08-27,CUST-1167,Corporate,West,Home & Kitchen,Blender,5,184.43,0.0,922.15,103.98,Same Day
ORD-10613,2024-05-25,CUST-1433,Home Office,South,Books,Biography,7,25.8,0.15,153.51,8.02,Same Day
